"Erlotinib","AZD6244","PD_0325901"
0.2496,0.1247,0.6516
0.245,2.8096,2.8355
0.8748,1.3092,1.294
1.92,0.5872,0.9413
0.2919,1.1495,2.221
1.6441,2.5412,2.5862
1.8863,0.6281,1.9489
0.08267,0.3118,1.0241
0.4567,2.4031,3.4454
0.07583,1.5453,2.7382
0.5181,0.1191,0.5292
0.08293,0.2375,0.5436
0.3697,0.117,0.5889
0,1.8154,2.4465
0.8588,1.548,1.3819
0.2241,2.5348,3.6018
0.2889,3.2996,4.8148
0.4884,1.8637,3.1106
0.1029,1.3769,0.6163
1.2474,0.6881,1.2671
1.0818,1.2336,1.7295
1.0362,1.6147,2.9921
0.3018,0.6207,0.7369
0.2484,2.1312,2.611
0.491,0.09979,0.04551
1.1176,1.531,2.1609
0.3177,2.518,2.855
0,1.4573,2.3201
0.04175,0.3552,0.8653
0.01175,0.05747,0
0.3595,0.113,0.06714
1.3084,0.01832,0.4673
0.3156,0.1287,0.5865
0.2467,0.2601,0.1503
0.7307,1.9699,2.8579
1.128,1.6091,2.6013
0.286,1.8523,3.2117
0.4533,1.5726,2.4419
1.0932,1.2769,1.8386
1.7747,1.2348,2.2204
2.316,2.3452,2.6201
0.6947,0.149,0.1878
2.0234,1.7048,2.3533
0.04256,1.6146,2.1985
1.1767,2.3689,1.8058
0.4963,1.5986,3.2483
0.003827,0.06316,0.238
0.399,1.5237,3.115
0.08698,0.103,0.586
1.8156,2.0146,2.5956
1.207,0.7278,0.8246
0.4165,5.5723,5.6249
0.4621,0.5656,0.6039
1.1118,1.5946,1.7988
0.1882,4.1926,5.7584
0.6326,4.57,5.6956
0.6266,0.02962,0.01305
1.1618,1.8733,3.1372
0.4867,3.3142,4.7338
0.9611,2.4876,2.757
1.1257,1.1293,1.8902
0.03604,0.02408,0.5205
0.05132,0.07562,0.02419
0.258,0.1949,0.9822
0.2287,0.3316,0.01505
0.3955,3.1418,2.9241
0.473,1.4402,1.3118
0.8498,1.0097,1.2996
0.1756,1.1426,1.3384
0.4546,0.7486,0.4387
0.9251,0.1338,0.8781
0.9805,0.864,1.3267
1.4945,3.5067,4.1181
0.3605,0,0.9204
0.2757,0.003172,0.04767
0.2728,2.6304,4.3938
0.5729,1.1417,1.3875
0.09867,0.0802,0.09919
0.463,0.8452,1.0839
0.8427,0.3168,0.9157
0.8905,3.654,4.5392
0,0.2629,0.557
0.09704,1.9236,3.051
0.6877,0.5129,0.9489
0.6618,3.2726,3.7848
1.5452,2.4745,2.2958
0.3636,1.0491,1.9272
0.8677,1.8458,2.2864
0.996,2.7378,4.4245
0.3828,1.9268,2.1278
0,0.06311,0.689
0.1358,0.2266,0.3018
0.4303,0.6831,2.272
0.9732,0.06857,1.2638
0.6055,1.3028,2.0909
0.1787,0.6094,0.7663
0.1201,0.2219,0.624
0.3789,0.5534,1.2719
0.2662,0.2843,0.01881
0.8434,0.2773,1.1893
0.1981,0.4582,0.5391
0.5515,0.6753,0.56
0.3449,1.4084,1.8382
0.1893,0,0.2342
2.1,1.6198,2.1571
0.8402,0.9032,1.6269
2.6857,0.7347,0.7479
3.7373,0.1997,1.7547
0.1511,0.7028,1.5458
0.2732,3.7803,5.0257
0.3408,1.2257,2.1081
0.02019,0.1545,0.3694
4.4132,0,0.7286
0.2184,1.9489,3.6651
0.4596,0.6149,1.4088
0.8709,2.7557,4.6897
1.6374,1.4415,3.6834
2.2608,3.233,3.6687
0.1217,1.0471,1.652
1.0704,2.2178,2.6065
0.7614,1.3455,1.1822
0,0.07603,0.1312
0.05487,0.03026,0.05466
0.7348,0.3154,1.1049
0.4473,0.6032,0.592
0.4963,1.026,2.6284
0.1433,3.0232,3.9209
0.2561,0.9399,2.2657
0.2264,0.08234,0
0.4083,0.8535,0.7106
0.3112,0.3451,0.7281
0.5841,1.1747,0.8906
0.3479,2.9909,3.8973
1.0646,0.4484,1.327
0.2068,0.3858,1.1514
0.7557,2.1314,3.3129
0.965,2.0653,3.016
0.00911,0.4344,0.4783
0.6342,1.0543,2.213
0.05836,0.2979,1.2618
0.07119,0.4306,0.5807
0.0222,1.5491,2.3595
0.1266,0.5233,0.44
0.2265,0.3088,1.4601
0.3248,1.5266,2.6193
0.6797,2.7227,3.6998
0.3236,0.6889,1.11
0.2035,1.3702,2.3665
0.4755,0.4916,1.2316
0,2.825,3.7454
0.1288,2.5274,3.25
0.3722,2.5552,3.1033
0.6125,0.0567,0.2316
0.6185,1.5451,0.9237
0.02918,1.8734,2.4808
0.2642,1.1711,2.0249
1.4249,0.7726,1.0196
0.5338,2.8194,4.4659
0,4.148,4.683
0.4576,1.4631,2.3323
0.4804,0.1214,0.2633
0.2869,1.6739,2.2718
1.4576,2.1476,4.3231
0.7256,4.2205,5.1608
0.3108,0.1423,0.9959
0.3618,3.6362,4.6732
0.4376,0.575,1.2794
1.1493,0.6622,1.8264
